start_season,salary_cap
2018,101869000
2017,99093000
2016,94143000
2015,70000000
2014,63065000
2013,58679000
2012,58044000
2011,58044000
2010,58044000
2009,57700000
2008,58680000
2007,55630000
2006,53135000
2005,49500000
2004,43870000
2003,43840000
2002,40271000
2001,42500000
2000,35500000
1999,34000000
1998,30000000
1997,26900000
1996,24363000
1995,23000000
1994,15964000
1993,15175000
1992,14000000
1991,12500000
1990,11871000
1989,9802000
1988,7232000
1987,6164000
1986,4945000
1985,4945000
1984,4233000
